"interval_number","velocity_meters_per_second","direction_degrees"
1,0.0268066849253906,0.325165056203247
2,0.072820764359923,358.198720050474
3,0.135694096891455,355.764410013921
4,0.178777201130037,354.889535096331
5,0.185979267269673,354.924187207778
6,0.17990563288899,355.0778111112
7,0.169638588922348,355.175104831979
8,0.165039842714475,355.251280977476
9,0.137738501480485,355.189885535302
10,0.113652890515788,355.296331503559
11,0.0938008953842796,355.433269125633
12,0.0808075591826977,355.637506119952
13,0.0743699152270296,355.979070480151
14,0.076408903015648,356.293363142991
15,0.0802788577050135,355.876516474265
16,0.0722269752575059,355.400818708628
17,0.0671497250036508,355.186088553333
18,0.0587218306678781,354.978265834926
19,0.0507853260790061,354.648655327517
20,0.0365062584736144,353.071115956524
21,0.00365724034217747,294.739540210118
22,0.0372917048298948,181.983005733147
23,0.0780171432559714,179.30965402313
24,0.098693232045577,178.656973345671
25,0.113809256291009,178.17109130911
26,0.11954410502869,177.814215292892
27,0.112366233736206,177.473065336353
28,0.0895691610038517,176.583017971492
29,0.0444886506185376,2.10564410290475
30,0.229079757617195,356.142800024608
31,0.358542182824135,355.710532651413
32,0.390114515657269,355.731508871221
33,0.353046796340132,355.58072035609
34,0.307281679827416,355.603070253213
35,0.240532731877635,355.77303490884
36,0.209593504454717,355.894089203398
37,0.188389140229345,355.929544668616
38,0.176921470438265,355.794791826371
39,0.174438689601594,355.710973076961
40,0.152243902201877,355.850359527656
41,0.142637615813176,355.87254506763
42,0.112591114275434,355.850674993716
43,0.0938769396938111,356.280414755832
44,0.0799835817566097,357.038992215904
45,0.0614124483371538,357.977643940975
46,0.0556352349938673,358.27822353225
47,0.0491718665373892,359.028630847195
48,0.081396450293415,358.098773613026
49,0.114759679900745,356.490414825831
50,0.15338284441347,355.53319639071
51,0.204490173894169,355.418684979319
52,0.209365028105541,355.343758917136
53,0.204205691876774,355.581917792787
54,0.187213894536749,355.573756738175
55,0.168776508394205,355.681109697536
56,0.164688238620967,355.842893967017
57,0.143326757644503,355.673048913945
58,0.128721719187399,355.712287710222
59,0.111220617738465,355.791723864886
60,0.106904759614547,355.774272056724
61,0.106030501085382,355.505904956601
62,0.119594170543227,355.318955361876
63,0.137189119052924,355.160713115913
64,0.133236294441586,354.944058213153
65,0.127866473794934,355.085169803277
66,0.118597418659352,354.950911235072
67,0.102528067089355,354.868539854376
68,0.0842015604389741,354.889158169914
69,0.0703333891249949,355.214635255746
70,0.0652726917772317,355.547518020788
71,0.0559356813566553,355.626267348826
72,0.0505347582972291,355.50358271389
73,0.0429426918501665,355.303203732132
74,0.0392330650161809,355.170142798868
75,0.0375909750956231,355.064181944596
76,0.0338864332633772,354.912983237545
77,0.0381663012977508,355.191697933758
78,0.0414421971470664,355.406855994246
79,0.0504963202450647,355.618263789037
80,0.0553088707076698,355.390143571859
81,0.0514597280519566,354.884671962596
82,0.0477873344501229,354.914786066686
83,0.0415478081941056,355.350484107792
84,0.0393274352018604,356.125107919058
85,0.0372206893408007,357.493358484626
86,0.0507792997397877,358.373956648414
87,0.0728762061073508,357.812447710768
